Area,Year,Persons(1000),Area,Year,Persons(1000),Area,Year,Persons(1000)
Germany,2010,81325.09,Ireland,2010,4524.585,Luxembourg,2010,507.07
Germany,2011,81423.378,Ireland,2011,4544.501,Luxembourg,2011,518.206
Germany,2012,81545.565,Ireland,2012,4564.55,Luxembourg,2012,530.585
Germany,2013,81680.591,Ireland,2013,4588.832,Luxembourg,2013,543.066
Germany,2014,81858.825,Ireland,2014,4622.167,Luxembourg,2014,556.069
Germany,2015,82073.226,Ireland,2015,4665.76,Luxembourg,2015,569.408
Germany,2016,82331.423,Ireland,2016,4715.788,Luxembourg,2016,583.351
Germany,2017,82624.374,Ireland,2017,4771.854,Luxembourg,2017,596.283
Germany,2018,82896.696,Ireland,2018,4834.507,Luxembourg,2018,607.913
Germany,2019,83148.141,Ireland,2019,4896.019,Luxembourg,2019,619.973
Germany,2020,83328.988,Ireland,2020,4946.119,Luxembourg,2020,630.399
